"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Argonaut-DQ-DSTU2","Mapping: Workflow Pattern","Mapping: HL7 v2 Mapping","Mapping: FiveWs Pattern Mapping","Mapping: RIM Mapping"
"ImmunizationEvaluation","ImmunizationEvaluation","","","",0,*,"","","","null {[]} {[]}
","Immunization evaluation information","Describes a comparison of an immunization event against published recommendations to determine if the administration is ""valid"" in relation to those  recommendations.","","","","","","","","","",,,,,"",,,,"ImmunizationEvaluation",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}","CarePlan","Event","RSP_K11","Entity. Role, or Act"
"ImmunizationEvaluation.id","ImmunizationEvaluation.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"ImmunizationEvaluation.meta","ImmunizationEvaluation.meta","","","",0,1,"","","Y","Meta {[CanonicalType[http://314e.com/fhir/StructureDefinition/meta-314e]]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ImmunizationEvaluation.implicitRules","ImmunizationEvaluation.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of it's narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ImmunizationEvaluation.language","ImmunizationEvaluation.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"preferred","A human language.","http://hl7.org/fhir/ValueSet/languages|4.0.1","",,,,"Resource.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ImmunizationEvaluation.text","ImmunizationEvaluation.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Act.text?"
"ImmunizationEvaluation.contained","ImmunizationEvaluation.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags In their meta elements, but SHALL NOT have security labels.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"","","N/A"
"ImmunizationEvaluation.extension","ImmunizationEvaluation.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","DomainResource.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ImmunizationEvaluation.extension:additionalInfo","ImmunizationEvaluation.extension","additionalInfo","","",0,*,"","","","Extension {[CanonicalType[http://314e.com/fhir/StructureDefinition/resource-additionalInfo]]} {[]}
","Supplementary information for this resource","Applied at the root level of any resource. Used to capture supplementary
or non-standard information related to a FHIR resource that is not
represented by the core FHIR elements or existing profiles.","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ImmunizationEvaluation.modifierExtension","ImmunizationEvaluation.modifierExtension","","extensions
user content","",0,*,"","Y","","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"ImmunizationEvaluation.identifier","ImmunizationEvaluation.identifier","","","",0,*,"","","","Identifier {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/identifier-314e]]} {[]}
","(QI) Business identifier","A unique identifier assigned to this immunization evaluation record.","","","","","","","","","",,,,,"",,,,"ImmunizationEvaluation.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","CarePlan.subject","Event.identifier","FiveWs.identifier"
"ImmunizationEvaluation.status","ImmunizationEvaluation.status","","","",1,1,"","Y","Y","code {[]} {[]}
","(QI) completed | entered-in-error","Indicates the current status of the evaluation of the vaccination administration event.","","","","","","","","","",,"required","The status of the evaluation being done.","http://hl7.org/fhir/ValueSet/immunization-evaluation-status|4.0.1","",,,,"ImmunizationEvaluation.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.status","FiveWs.status"
"ImmunizationEvaluation.patient","ImmunizationEvaluation.patient","","","",1,1,"","","Y","Reference {[CanonicalType[http://314e.com/fhir/StructureDefinition/reference-314e]]} {[CanonicalType[http://314e.com/fhir/StructureDefinition/patient-314e]]}
","(QI) Who this evaluation is for","The individual for whom the evaluation is being done.","","","","","","","","","",,,,,"",,,,"ImmunizationEvaluation.patient",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.subject","PID-3","FiveWs.subject[x]","FiveWs.subject"
"ImmunizationEvaluation.date","ImmunizationEvaluation.date","","","",1,1,"","","","dateTime {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/datetime-314e]]} {[]}
","(QI) Date evaluation was performed","The date the evaluation of the vaccine administration event was performed.","","","","","","","","","",,,,,"",,,,"ImmunizationEvaluation.date",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.occurrenceDateTime","RXA-3","FiveWs.init"
"ImmunizationEvaluation.authority","ImmunizationEvaluation.authority","","","",0,1,"","","","Reference {[CanonicalType[http://314e.com/fhir/StructureDefinition/reference-314e]]} {[CanonicalType[http://314e.com/fhir/StructureDefinition/organization-314e]]}
","Who is responsible for publishing the recommendations","Indicates the authority who published the protocol (e.g. ACIP).","","","","","","","","","",,,,,"",,,,"ImmunizationEvaluation.authority",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OBX-5 : OBX-3 = ( 59779-9 )"
"ImmunizationEvaluation.targetDisease","ImmunizationEvaluation.targetDisease","","","",1,1,"","","Y","CodeableConcept {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/codeableconcept-314e]]} {[]}
","(QI) Evaluation target disease","The vaccine preventable disease the dose is being evaluated against.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/immunization-evaluation-target-disease","",,,,"ImmunizationEvaluation.targetDisease",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OBX-5 : OBX-3 = ( 30956-7 | 38890-0 )"
"ImmunizationEvaluation.immunizationEvent","ImmunizationEvaluation.immunizationEvent","","","",1,1,"","","Y","Reference {[CanonicalType[http://314e.com/fhir/StructureDefinition/reference-314e]]} {[CanonicalType[http://314e.com/fhir/StructureDefinition/immunization-314e]]}
","(QI) Immunization being evaluated","The vaccine administration event being evaluated.","","","","","","","","","",,,,,"",,,,"ImmunizationEvaluation.immunizationEvent",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ImmunizationEvaluation.doseStatus","ImmunizationEvaluation.doseStatus","","","",1,1,"","","Y","CodeableConcept {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/codeableconcept-314e]]} {[]}
","(QI) Status of the dose relative to published recommendations","Indicates if the dose is valid or not valid with respect to the published recommendations.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/immunization-evaluation-dose-status","",,,,"ImmunizationEvaluation.doseStatus",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OBX-5 : OBX-3 = ( 59781-5 )"
"ImmunizationEvaluation.doseStatusReason","ImmunizationEvaluation.doseStatusReason","","","",0,*,"","","","CodeableConcept {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/codeableconcept-314e]]} {[]}
","(QI) Reason for the dose status","Provides an explanation as to why the vaccine administration event is valid or not relative to the published recommendations.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/immunization-evaluation-dose-status","",,,,"ImmunizationEvaluation.doseStatusReason",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OBX-5 : OBX-3 = ( 30982-3 )"
"ImmunizationEvaluation.description","ImmunizationEvaluation.description","","","",0,1,"","","","string {[]} {[]}
","Evaluation notes","Additional information about the evaluation.","","","","","","","","","",,,,,"",,,,"ImmunizationEvaluation.description",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Event.note","OBX-5 : OBX-3 = ( 48767-8 )"
"ImmunizationEvaluation.series","ImmunizationEvaluation.series","","","",0,1,"","","","string {[]} {[]}
","Name of vaccine series","One possible path to achieve presumed immunity against a disease - within the context of an authority.","","","","","","","","","",,,,,"",,,,"ImmunizationEvaluation.series",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ImmunizationEvaluation.doseNumber[x]","ImmunizationEvaluation.doseNumber[x]","","","",0,1,"","","","positiveInt {[]} {[]}
string {[]} {[]}","Dose number within series","Nominal position in a series.","The use of an integer is preferred if known. A string should only be used in cases where an integer is not available (such as when documenting a recurring booster dose).","","","","","","","","",,,,,"",,,,"ImmunizationEvaluation.doseNumber[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OBX-5 : OBX-3 = ( 30973-2 )"
"ImmunizationEvaluation.seriesDoses[x]","ImmunizationEvaluation.seriesDoses[x]","","","",0,1,"","","","positiveInt {[]} {[]}
string {[]} {[]}","Recommended number of doses for immunity","The recommended number of doses to achieve immunity.","The use of an integer is preferred if known. A string should only be used in cases where an integer is not available (such as when documenting a recurring booster dose).","","","","","","","","",,,,,"",,,,"ImmunizationEvaluation.seriesDoses[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","OBX-5 : OBX-3 = ( 59782-3 )"
